Date ,Reliance Close Price  
17-Jan-25,"1,302.35"
20-Jan-25,"1,305.45"
21-Jan-25,"1,273.70"
22-Jan-25,"1,277.10"
23-Jan-25,"1,263.65"
24-Jan-25,"1,246.30"
27-Jan-25,"1,229.35"
28-Jan-25,"1,234.40"
29-Jan-25,"1,235.50"
30-Jan-25,"1,253.05"
31-Jan-25,"1,265.10"
01-Feb-25,"1,264.60"
03-Feb-25,"1,245.90"
04-Feb-25,"1,285.20"
05-Feb-25,"1,278.20"
06-Feb-25,"1,281.55"
07-Feb-25,"1,266.70"
10-Feb-25,"1,253.65"
11-Feb-25,"1,234.85"
12-Feb-25,"1,216.55"
13-Feb-25,"1,216.10"
14-Feb-25,"1,217.25"
17-Feb-25,"1,224.90"
18-Feb-25,"1,225.40"
19-Feb-25,"1,227.45"
20-Feb-25,"1,233.00"
21-Feb-25,"1,228.15"
24-Feb-25,"1,214.55"
25-Feb-25,"1,204.00"
27-Feb-25,"1,207.10"
28-Feb-25,"1,200.10"
03-Mar-25,"1,171.25"
04-Mar-25,"1,161.90"
05-Mar-25,"1,175.60"
06-Mar-25,"1,209.60"
07-Mar-25,"1,249.80"
10-Mar-25,"1,238.40"
11-Mar-25,"1,247.30"
12-Mar-25,"1,257.05"
13-Mar-25,"1,247.90"
17-Mar-25,"1,238.85"
18-Mar-25,"1,238.80"
19-Mar-25,"1,247.15"
20-Mar-25,"1,269.15"
21-Mar-25,"1,276.35"
24-Mar-25,"1,302.10"
25-Mar-25,"1,285.45"
26-Mar-25,"1,273.05"
27-Mar-25,"1,278.20"
28-Mar-25,"1,275.10"
01-Apr-25,"1,252.60"
02-Apr-25,"1,251.15"
03-Apr-25,"1,248.70"
04-Apr-25,"1,204.70"
07-Apr-25,"1,165.70"
08-Apr-25,"1,182.20"
09-Apr-25,"1,185.35"
11-Apr-25,"1,218.95"
15-Apr-25,"1,240.10"
16-Apr-25,"1,239.30"
17-Apr-25,"1,274.50"
21-Apr-25,"1,295.50"
22-Apr-25,"1,291.20"
23-Apr-25,"1,300.00"
24-Apr-25,"1,301.60"
25-Apr-25,"1,300.40"
28-Apr-25,"1,368.80"
29-Apr-25,"1,399.70"
30-Apr-25,"1,405.00"
02-May-25,"1,422.40"
05-May-25,"1,431.30"
06-May-25,"1,420.90"
07-May-25,"1,406.00"
08-May-25,"1,407.00"
09-May-25,"1,377.20"
12-May-25,"1,436.50"
13-May-25,"1,415.70"
14-May-25,"1,424.40"
15-May-25,"1,454.20"
16-May-25,"1,456.40"
19-May-25,"1,440.80"
20-May-25,"1,424.60"
21-May-25,"1,429.20"
22-May-25,"1,409.40"
23-May-25,"1,426.80"
26-May-25,"1,434.80"
27-May-25,"1,422.10"
28-May-25,"1,412.90"
29-May-25,"1,417.80"
30-May-25,"1,420.90"
02-Jun-25,"1,413.70"
03-Jun-25,"1,405.50"
04-Jun-25,"1,423.50"
05-Jun-25,"1,442.40"
06-Jun-25,"1,443.50"
09-Jun-25,"1,448.80"
10-Jun-25,"1,438.50"
11-Jun-25,"1,448.90"
12-Jun-25,"1,441.60"
13-Jun-25,"1,427.90"
16-Jun-25,"1,437.80"
17-Jun-25,"1,431.20"
